Status Chalenge;Kode Chalenge;Waktu Selesai/Keluar
Enter;0;39Second
Enter;1;67Second
Enter;2;90Second
Enter;3;99Second
Enter;4;134Second
Enter;5;143Second
Enter;6;176Second
Enter;7;190Second
Enter;8;233Second
Enter;9;250Second
Enter;10;322Second
Enter;11;334Second
Out;10;361Second
Out;9;361Second
Out;8;361Second
Out;7;361Second
Out;6;361Second
Out;5;361Second
Out;4;361Second
Out;3;361Second
Out;2;361Second
Out;1;361Second
