Status Chalenge;Kode Chalenge;Waktu Selesai/Keluar
Enter;0;58Second
Enter;1;112Second
Enter;2;147Second
Enter;3;179Second
Enter;4;226Second
Enter;5;338Second
Enter;6;374Second
Enter;7;442Second
Enter;8;494Second
Enter;9;561Second
Enter;10;597Second
Enter;11;623Second
Out;10;644Second
Out;9;644Second
Out;8;644Second
Out;7;644Second
Out;6;644Second
Out;5;644Second
Out;4;644Second
Out;3;644Second
Out;2;644Second
Out;1;644Second
Out;0;644Second
