Status Chalenge;Kode Chalenge;Waktu Selesai/Keluar
Enter;0;35Second
Enter;1;58Second
Enter;2;86Second
Enter;3;98Second
Enter;4;185Second
Enter;5;197Second
Enter;6;293Second
Enter;7;310Second
Enter;8;348Second
Enter;9;362Second
Enter;10;452Second
Enter;11;493Second
Out;10;616Second
Out;9;616Second
Out;8;616Second
Out;7;616Second
Out;6;616Second
Out;5;616Second
Out;4;616Second
Out;3;616Second
Out;2;616Second
Out;1;616Second
Out;0;616Second
