Status Chalenge;Kode Chalenge;Waktu Selesai/Keluar
Enter;0;44Second
Enter;1;85Second
Enter;2;129Second
Enter;3;139Second
Enter;4;185Second
Enter;5;205Second
Enter;6;247Second
Enter;7;280Second
Enter;8;347Second
Enter;9;363Second
Enter;10;416Second
Enter;11;445Second
Out;10;468Second
Out;9;468Second
