Status Chalenge;Kode Chalenge;Waktu Selesai/Keluar
Enter;0;91Second
Enter;1;134Second
Enter;2;167Second
Enter;3;201Second
Enter;4;278Second
Enter;5;464Second
Enter;6;549Second
Enter;7;608Second
Out;6;670Second
Out;5;670Second
Out;4;670Second
Out;3;670Second
Out;2;670Second
Out;1;670Second
Out;0;670Second
