Status Chalenge;Kode Chalenge;Waktu Selesai/Keluar
Enter;0;111Second
Enter;0;111Second
Enter;0;112Second
Enter;0;113Second
Enter;0;113Second
Enter;1;148Second
Enter;2;219Second
Enter;3;235Second
Enter;4;292Second
Enter;5;343Second
Enter;6;569Second
Enter;7;667Second
Enter;8;720Second
Enter;9;790Second
Enter;10;896Second
Enter;11;915Second
Out;10;920Second
Out;9;920Second
Out;8;920Second
Out;7;920Second
Out;6;920Second
Out;5;920Second
Out;4;920Second
Out;3;920Second
