Status Chalenge;Kode Chalenge;Waktu Selesai/Keluar
Enter;0;106Second
Enter;1;192Second
Enter;2;210Second
Enter;3;285Second
Enter;4;392Second
Enter;5;489Second
Enter;6;527Second
Enter;7;585Second
Enter;8;612Second
Enter;9;691Second
Enter;10;724Second
Enter;11;798Second
Out;10;803Second
