Status Chalenge;Kode Chalenge;Waktu Selesai/Keluar
Enter;0;27Second
Enter;1;109Second
Enter;2;115Second
Enter;3;156Second
Enter;4;169Second
Enter;5;218Second
Enter;6;232Second
Enter;7;270Second
Enter;8;310Second
Enter;9;376Second
Enter;10;458Second
Out;9;464Second
Out;8;464Second
Out;7;464Second
Out;6;464Second
Out;5;464Second
Out;4;464Second
