Status Chalenge;Kode Chalenge;Waktu Selesai/Keluar
Enter;0;93Second
Enter;1;183Second
Enter;2;219Second
Enter;3;251Second
Enter;4;285Second
Enter;5;342Second
Enter;6;389Second
Enter;7;449Second
Enter;8;501Second
Enter;9;559Second
Enter;10;588Second
Enter;11;647Second
Out;10;650Second
Out;9;650Second
Out;8;650Second
Out;7;650Second
Out;6;650Second
Out;5;650Second
Out;4;650Second
Out;3;650Second
Out;2;650Second
Out;1;650Second
Out;0;650Second
