Status Chalenge;Kode Chalenge;Waktu Selesai/Keluar
Enter;0;18Second
Enter;0;21Second
Enter;0;36Second
Enter;1;61Second
Enter;2;92Second
Enter;3;104Second
Enter;4;151Second
Enter;5;162Second
Enter;6;224Second
Enter;7;235Second
Enter;8;293Second
Enter;9;303Second
Enter;10;337Second
Enter;11;438Second
Out;10;469Second
Out;9;469Second
Out;8;469Second
Out;7;469Second
