Status Chalenge;Kode Chalenge;Waktu Selesai/Keluar
Enter;0;38Second
Enter;1;80Second
Enter;2;115Second
Enter;3;190Second
Enter;4;234Second
Enter;5;290Second
Enter;6;326Second
Enter;7;351Second
Enter;8;424Second
Enter;9;430Second
Out;8;433Second
Enter;9;434Second
Out;8;434Second
Enter;9;434Second
Enter;10;502Second
Enter;11;519Second
Enter;12;541Second
Out;11;549Second
