Status Chalenge;Kode Chalenge;Waktu Selesai/Keluar
Enter;0;100Second
Enter;1;134Second
Enter;2;176Second
Enter;3;254Second
Enter;4;310Second
Enter;5;328Second
Enter;6;396Second
Enter;7;415Second
Enter;8;494Second
Enter;9;528Second
Enter;10;591Second
Enter;11;604Second
Out;10;607Second
Out;9;607Second
Out;8;607Second
Out;7;607Second
Out;6;607Second
Out;5;607Second
Out;4;607Second
Out;3;607Second
Out;2;607Second
Out;1;607Second
Out;0;607Second
